time,open,high,low,close,volume
2021-04-22 06:00:00,415.62,415.87,415.54,415.85,19202
2021-04-22 05:00:00,415.61,416.02,415.52,415.6,42369
2021-04-21 20:00:00,415.16,415.32,414.93,414.94,369880
2021-04-21 19:00:00,415.29,415.43,415.07,415.2,143515
2021-04-21 18:00:00,415.39,415.4,415.11,415.29,302755
2021-04-21 17:00:00,416.07,416.0962,415.24,415.3,8169110
2021-04-21 16:00:00,414.95,416.29,414.825,416.09,17377367
2021-04-21 15:00:00,414.915,415.26,414.76,414.96,4930111
2021-04-21 14:00:00,414.4644,414.94,414.45,414.915,3607165
2021-04-21 13:00:00,414.89,414.92,414.361,414.465,5230832
2021-04-21 12:00:00,413.77,414.93,413.61,414.89,7714958
2021-04-21 11:00:00,413.41,414.1,412.995,413.7659,9248804
2021-04-21 10:00:00,411.42,413.43,411.32,413.41,7151332
2021-04-21 09:00:00,412.41,412.7104,411.07,411.47,459119
2021-04-21 08:00:00,412.77,412.77,411.98,412.11,188112
2021-04-21 07:00:00,412.17,412.66,411.8,412.66,43999
2021-04-21 06:00:00,412.17,412.36,411.75,412.04,83636
2021-04-21 05:00:00,411.8,412.49,411.8,412.08,7799
2021-04-20 20:00:00,411.93,411.971,411.64,411.8,46194
2021-04-20 19:00:00,411.77,412.02,411.66,411.99,69770
2021-04-20 18:00:00,411.6,412.17,411.59,411.76,84601
2021-04-20 17:00:00,412.22,412.33,411.51,411.61,7579448
2021-04-20 16:00:00,410.8499,412.67,410.84,412.24,18343869
2021-04-20 15:00:00,411.895,412.1,410.59,410.849,5772816
2021-04-20 14:00:00,412.02,412.05,411.2,411.905,6110617
2021-04-20 13:00:00,411.46,412.4,411.3009,412.03,6406561
2021-04-20 12:00:00,412.35,415.0859,410.62,411.46,14313234
2021-04-20 11:00:00,414.34,414.57,411.76,412.35,14826622
2021-04-20 10:00:00,413.6,414.68,413.6,414.34,5446800
2021-04-20 09:00:00,413.4301,415.21,413.2204,413.6,711655
2021-04-20 08:00:00,413.57,413.73,413.25,413.63,247286
2021-04-20 07:00:00,413.54,413.75,412.68,413.55,103804
2021-04-20 06:00:00,415.02,415.02,413.35,413.55,80264
2021-04-20 05:00:00,415.66,415.72,415.0,415.08,41214
2021-04-19 20:00:00,415.5,415.78,415.27,415.72,156246
2021-04-19 19:00:00,415.16,415.55,415.16,415.49,87397
2021-04-19 18:00:00,415.21,415.26,415.16,415.16,857028
2021-04-19 17:00:00,415.265,415.42,415.074,415.21,6338100
2021-04-19 16:00:00,415.075,415.34,414.14,415.26,20571756
2021-04-19 15:00:00,414.67,415.12,414.37,415.077,5537306
2021-04-19 14:00:00,414.205,415.09,414.04,414.67,5393267
2021-04-19 13:00:00,414.82,415.26,413.79,414.205,9292211
2021-04-19 12:00:00,415.345,415.71,414.24,414.84,8232784
2021-04-19 11:00:00,416.62,416.67,414.38,415.3518,14353140
2021-04-19 10:00:00,416.43,416.74,415.99,416.62,5943374
2021-04-19 09:00:00,416.2201,416.48,416.01,416.39,264533
2021-04-19 08:00:00,416.32,416.46,416.08,416.18,214397
2021-04-19 07:00:00,416.48,416.65,415.95,416.29,178208
2021-04-19 06:00:00,416.77,416.77,416.28,416.5,18216
2021-04-19 05:00:00,416.87,417.06,416.71,416.77,25802
2021-04-16 20:00:00,417.08,417.08,416.75,416.75,16571
2021-04-16 19:00:00,416.9,417.12,416.9,417.08,40765
2021-04-16 18:00:00,416.75,417.26,416.71,416.8,318011
2021-04-16 17:00:00,417.33,417.33,416.74,416.82,11671778
2021-04-16 16:00:00,417.44,417.91,417.1,417.3101,22046897
2021-04-16 15:00:00,416.499,417.49,416.4,417.44,7251646
2021-04-16 14:00:00,416.61,416.8,416.43,416.5,4362785
2021-04-16 13:00:00,416.4,417.8869,416.4,416.6,5229033
2021-04-16 12:00:00,416.6,417.0,416.19,416.4,7044839
2021-04-16 11:00:00,416.11,417.01,415.73,416.61,15467704
2021-04-16 10:00:00,416.85,417.39,415.91,416.1,7297426
2021-04-16 09:00:00,416.47,416.87,415.3,416.85,282688
2021-04-16 08:00:00,416.02,416.5,415.98,416.48,174553
2021-04-16 07:00:00,416.06,416.2,415.98,416.08,34757
2021-04-16 06:00:00,415.55,416.21,415.55,416.1,11940
2021-04-16 05:00:00,415.46,415.6,415.28,415.6,12844
2021-04-15 20:00:00,415.8,415.93,415.79,415.82,45114
