date,1. open,2. high,3. low,4. close,5. volume
2021-03-31 15:28:00,191.3,191.6,191.0417,191.4274,11483.0
2021-03-31 15:27:00,191.2127,191.49,191.14,191.4692,13396.0
2021-03-31 15:26:00,190.192,191.55,189.92,191.55,61063.0
2021-03-31 15:25:00,190.28,190.62,190.07,190.26,21818.0
2021-03-31 15:24:00,190.57,190.89,190.36,190.42,18185.0
2021-03-31 15:23:00,191.7726,191.7899,190.57,190.7,42676.0
2021-03-31 15:22:00,191.1648,191.8738,191.1648,191.6,8958.0
2021-03-31 15:21:00,191.8,192.0648,191.07,191.16,30122.0
2021-03-31 15:20:00,192.255,192.255,191.29,191.94,35725.0
2021-03-31 15:19:00,192.6247,192.6247,192.28,192.28,11545.0
2021-03-31 15:18:00,192.51,192.97,192.4,192.6246,11169.0
2021-03-31 15:17:00,192.55,192.75,192.3493,192.665,3542.0
2021-03-31 15:16:00,192.42,192.5,191.96,192.48,21796.0
2021-03-31 15:15:00,192.39,192.4275,192.11,192.1569,6165.0
2021-03-31 15:14:00,192.61,192.61,192.1114,192.4508,14310.0
2021-03-31 15:13:00,193.1,193.3,192.5701,192.5701,8117.0
2021-03-31 15:12:00,193.0,193.5,192.9,193.095,55442.0
2021-03-31 15:11:00,193.05,193.32,193.0,193.0,6489.0
2021-03-31 15:10:00,193.68,193.7999,192.88,193.215,12008.0
2021-03-31 15:09:00,192.99,193.7838,192.8218,193.6899,14216.0
2021-03-31 15:08:00,192.91,193.1,192.75,192.9999,8456.0
2021-03-31 15:07:00,192.75,192.9,192.58,192.8236,6542.0
2021-03-31 15:06:00,192.205,192.91,192.0,192.75,9216.0
2021-03-31 15:05:00,192.0001,192.39,191.85,192.2305,8719.0
2021-03-31 15:04:00,192.485,192.5248,191.75,192.0267,17610.0
2021-03-31 15:03:00,192.6002,192.63,192.37,192.44,3228.0
2021-03-31 15:02:00,192.8,192.91,192.2001,192.57,6886.0
2021-03-31 15:01:00,192.49,192.96,192.37,192.8503,6705.0
2021-03-31 15:00:00,192.7173,192.75,192.0,192.36,15995.0
2021-03-31 14:59:00,192.85,192.9738,192.43,192.75,7215.0
2021-03-31 14:58:00,192.9,193.39,192.6807,192.84,17516.0
2021-03-31 14:57:00,192.63,193.0,192.5,192.54,16688.0
2021-03-31 14:56:00,192.144,192.99,191.6202,192.6641,18942.0
2021-03-31 14:55:00,191.94,192.17,191.55,191.925,17109.0
2021-03-31 14:54:00,192.5397,192.69,191.8,191.868,40382.0
2021-03-31 14:53:00,193.1001,193.24,192.531,192.71,11247.0
2021-03-31 14:52:00,193.2158,193.4324,192.92,193.39,15318.0
2021-03-31 14:51:00,193.6,193.6,193.1301,193.305,4299.0
2021-03-31 14:50:00,193.77,193.8,193.5,193.54,8427.0
2021-03-31 14:49:00,193.81,193.81,193.4,193.67,5483.0
2021-03-31 14:48:00,193.96,194.0,193.51,193.79,6039.0
2021-03-31 14:47:00,193.82,194.02,193.68,193.9708,6932.0
2021-03-31 14:46:00,193.214,193.97,193.0463,193.69,12394.0
2021-03-31 14:45:00,193.01,193.3518,192.78,193.2231,10661.0
2021-03-31 14:44:00,193.4146,193.4499,193.0,193.25,5624.0
2021-03-31 14:43:00,193.11,193.6425,192.85,193.4499,21342.0
2021-03-31 14:42:00,192.89,193.24,192.33,192.96,25192.0
2021-03-31 14:41:00,194.94,194.94,192.06,193.14,88643.0
2021-03-31 14:40:00,195.07,195.18,194.9446,194.9446,4358.0
2021-03-31 14:39:00,195.1938,195.3675,194.59,195.08,13594.0
2021-03-31 14:38:00,195.2199,195.4,195.01,195.3647,3220.0
2021-03-31 14:37:00,195.32,195.32,194.63,195.06,16594.0
2021-03-31 14:36:00,195.465,195.5408,195.18,195.18,6070.0
2021-03-31 14:35:00,195.3,195.98,195.08,195.7126,17103.0
2021-03-31 14:34:00,195.07,195.2675,194.8801,195.1488,3491.0
2021-03-31 14:33:00,195.06,195.06,194.6,195.0,9105.0
2021-03-31 14:32:00,195.2169,195.29,195.01,195.29,3012.0
2021-03-31 14:31:00,195.7599,195.7599,194.8967,194.95,6083.0
2021-03-31 14:30:00,195.9655,195.9655,195.265,195.5465,5488.0
2021-03-31 14:29:00,195.25,195.9877,195.1869,195.9201,18277.0
2021-03-31 14:28:00,194.95,195.2,194.915,195.2,5306.0
2021-03-31 14:27:00,194.52,195.2,194.5156,195.1807,8072.0
2021-03-31 14:26:00,194.53,194.5743,194.5166,194.5166,2879.0
2021-03-31 14:25:00,194.7,194.76,194.511,194.5329,2036.0
2021-03-31 14:24:00,194.9899,194.9899,194.7,194.9268,3047.0
2021-03-31 14:23:00,195.05,195.05,194.79,194.9,2494.0
2021-03-31 14:22:00,195.02,195.09,194.8789,195.09,3269.0
2021-03-31 14:21:00,195.08,195.149,194.3,195.149,12221.0
2021-03-31 14:20:00,195.6542,195.6604,195.2727,195.2727,3600.0
2021-03-31 14:19:00,195.09,195.7,195.09,195.6688,10696.0
2021-03-31 14:18:00,195.4499,195.4499,195.0,195.05,3141.0
2021-03-31 14:17:00,195.2,195.38,195.101,195.38,4055.0
2021-03-31 14:16:00,194.96,195.1205,194.7328,194.76,5422.0
2021-03-31 14:15:00,194.5663,195.4357,194.5663,195.1564,13991.0
2021-03-31 14:14:00,194.7099,194.8864,194.1,194.86,10685.0
2021-03-31 14:13:00,194.7599,195.17,194.4904,194.4904,26321.0
2021-03-31 14:12:00,194.35,194.92,194.35,194.6679,15179.0
2021-03-31 14:11:00,194.2,194.6307,194.2,194.43,4807.0
2021-03-31 14:10:00,194.08,194.14,194.0,194.07,3442.0
2021-03-31 14:09:00,194.34,194.44,194.07,194.07,7749.0
2021-03-31 14:08:00,193.4924,194.44,193.2,194.2207,17281.0
2021-03-31 14:07:00,193.58,193.8,193.1,193.4979,16456.0
2021-03-31 14:06:00,194.12,194.2,193.5,193.7721,13035.0
2021-03-31 14:05:00,194.0034,194.5,193.8801,194.369,12938.0
2021-03-31 14:04:00,194.5,194.5,193.7,194.06,17087.0
2021-03-31 14:03:00,194.7203,194.85,194.5,194.51,4022.0
2021-03-31 14:02:00,194.49,194.7374,194.0701,194.7374,8873.0
2021-03-31 14:01:00,194.5738,194.9,194.3,194.3,7808.0
2021-03-31 14:00:00,194.9,194.9,194.45,194.64,4170.0
2021-03-31 13:59:00,194.68,195.0,194.63,194.9,8753.0
2021-03-31 13:58:00,194.91,194.91,194.0706,194.401,19390.0
2021-03-31 13:57:00,194.99,195.02,194.8801,195.02,3192.0
2021-03-31 13:56:00,195.2119,195.271,194.805,194.82,10978.0
2021-03-31 13:55:00,195.6,195.6429,195.2261,195.25,4581.0
2021-03-31 13:54:00,195.4119,195.6275,195.06,195.6275,3973.0
